index,status,local_started_at,local_finished_at,elapsed_s,request_id,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
13,200,2026-04-17T20:19:55.470824Z,2026-04-17T20:20:01.188282Z,5.717456,7a60046b41d1,2026-04-17T20:19:55.672900Z,2026-04-17T20:20:01.134631Z,5461.73,3.028,0.55,0.39,0.12,658.87,4772.51,28.38,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.670,2.0456,128204,
14,200,2026-04-17T20:19:55.471025Z,2026-04-17T20:20:01.185106Z,5.71408,a4a5dffcd31b,2026-04-17T20:19:55.673620Z,2026-04-17T20:20:01.131968Z,5458.35,3.028,0.47,0.33,0.10,658.23,4772.51,25.65,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.690,2.0291,129164,
15,200,2026-04-17T20:19:55.471225Z,2026-04-17T20:20:01.190035Z,5.718808,1bac20a43cf3,2026-04-17T20:19:55.674290Z,2026-04-17T20:20:01.134747Z,5460.46,3.028,0.59,0.47,0.09,657.44,4772.51,28.35,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.620,2.0841,125804,
16,200,2026-04-17T20:19:55.471425Z,2026-04-17T20:20:01.150320Z,5.678893,98737cecbfa1,2026-04-17T20:19:55.674585Z,2026-04-17T20:20:01.128009Z,5453.42,3.028,0.60,0.46,0.10,657.14,4772.51,21.55,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.690,2.0273,129164,
17,200,2026-04-17T20:19:55.471622Z,2026-04-17T20:20:01.182433Z,5.710808,4d099d0b3972,2026-04-17T20:19:55.675272Z,2026-04-17T20:20:01.130800Z,5455.53,3.028,5.38,5.18,0.15,651.67,4772.51,24.26,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,2.0131,130124,
18,200,2026-04-17T20:19:55.471816Z,2026-04-17T20:20:01.190729Z,5.718912,e5da7b256373,2026-04-17T20:19:55.680300Z,2026-04-17T20:20:01.136602Z,5456.30,3.028,2.58,2.41,0.13,649.44,4772.51,29.98,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.720,2.0060,130604,
19,200,2026-04-17T20:19:55.472012Z,2026-04-17T20:20:01.134222Z,5.662209,58df30f4ccda,2026-04-17T20:19:55.708532Z,2026-04-17T20:20:01.125746Z,5417.21,3.028,0.42,0.20,0.17,623.37,4772.51,19.05,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.640,2.0520,126764,
20,200,2026-04-17T20:19:55.472204Z,2026-04-17T20:20:01.177136Z,5.704929,526d9d86e53a,2026-04-17T20:19:55.709230Z,2026-04-17T20:20:01.130211Z,5420.98,3.028,0.58,0.45,0.09,622.50,4772.51,23.44,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.700,2.0078,129644,
21,200,2026-04-17T20:19:55.472395Z,2026-04-17T20:20:01.185278Z,5.712881,af01d5446e45,2026-04-17T20:19:55.724454Z,2026-04-17T20:20:01.132503Z,5408.05,3.028,0.76,0.61,0.11,607.11,4772.51,24.90,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.9956,130124,
22,200,2026-04-17T20:19:55.472654Z,2026-04-17T20:20:01.190562Z,5.717907,d234069db087,2026-04-17T20:19:55.724944Z,2026-04-17T20:20:01.136254Z,5411.31,3.028,0.52,0.39,0.10,606.85,4772.51,28.60,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.9968,130124,
23,200,2026-04-17T20:19:55.472852Z,2026-04-17T20:20:02.589601Z,7.116747,42ae1c3ce883,2026-04-17T20:19:55.725506Z,2026-04-17T20:20:02.578360Z,6852.85,3.028,5.57,5.44,0.09,5384.59,1451.47,10.44,1447.65,40.61,1021.11,,422.98,385.27,37.71,57,100.00,100.00,9.399,9.399,39.16,39.16,8,504,800,163,short_ref,full,upload_hit,,2.700,2.5381,129644,
24,200,2026-04-17T20:19:55.473048Z,2026-04-17T20:20:02.578533Z,7.105482,cefddd5f3a52,2026-04-17T20:19:55.730811Z,2026-04-17T20:20:02.573039Z,6842.23,3.028,17.88,17.73,0.11,5366.98,1451.47,4.61,1447.65,40.61,1021.11,,422.98,385.27,37.71,57,100.00,100.00,9.399,9.399,39.16,39.16,8,504,800,163,short_ref,full,upload_hit,,2.700,2.5342,129644,
25,200,2026-04-17T20:19:55.473243Z,2026-04-17T20:20:01.184915Z,5.71167,4a22ffb51d0b,2026-04-17T20:19:55.709588Z,2026-04-17T20:20:01.131857Z,5422.27,3.028,0.39,0.26,0.10,622.33,4772.51,23.16,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.650,2.0461,127244,
26,200,2026-04-17T20:19:55.473442Z,2026-04-17T20:20:01.190896Z,5.717453,b32a799457f2,2026-04-17T20:19:55.710151Z,2026-04-17T20:20:01.138305Z,5428.15,3.028,0.63,0.49,0.10,621.54,4772.51,28.99,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.720,1.9956,130604,
27,200,2026-04-17T20:19:55.473637Z,2026-04-17T20:20:01.187543Z,5.713904,8a42ed68a108,2026-04-17T20:19:55.710418Z,2026-04-17T20:20:01.133088Z,5422.67,3.028,0.60,0.48,0.09,621.30,4772.51,24.97,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.630,2.0619,126284,
28,200,2026-04-17T20:19:55.473832Z,2026-04-17T20:20:01.190214Z,5.716381,4dec51292b38,2026-04-17T20:19:55.711098Z,2026-04-17T20:20:01.134927Z,5423.83,3.028,0.60,0.35,0.20,620.61,4772.51,24.38,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,2.0014,130124,
29,200,2026-04-17T20:19:55.474029Z,2026-04-17T20:20:01.185445Z,5.711414,51ff654da24f,2026-04-17T20:19:55.711754Z,2026-04-17T20:20:01.132782Z,5421.03,3.028,0.60,0.46,0.10,619.96,4772.51,25.68,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.650,2.0457,127244,
30,200,2026-04-17T20:19:55.474220Z,2026-04-17T20:20:01.162232Z,5.688011,b373622eaf9d,2026-04-17T20:19:55.712000Z,2026-04-17T20:20:01.129871Z,5417.87,3.028,3.39,3.22,0.12,616.93,4772.51,22.84,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.550,2.1247,122444,
31,200,2026-04-17T20:19:55.474423Z,2026-04-17T20:20:01.161857Z,5.687432,3e01e6db26d4,2026-04-17T20:19:55.715483Z,2026-04-17T20:20:01.128833Z,5413.35,3.028,0.38,0.22,0.12,616.45,4772.51,21.61,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.9975,130124,
32,200,2026-04-17T20:19:55.474669Z,2026-04-17T20:20:01.185611Z,5.710941,b0a3ac4edc76,2026-04-17T20:19:55.721841Z,2026-04-17T20:20:01.132931Z,5411.09,3.028,0.48,0.31,0.13,610.00,4772.51,25.63,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.530,2.1388,121484,
33,200,2026-04-17T20:19:55.474870Z,2026-04-17T20:20:01.191063Z,5.716191,2b22804d5974,2026-04-17T20:19:55.722370Z,2026-04-17T20:20:01.138443Z,5416.07,3.028,0.49,0.39,0.08,609.45,4772.51,26.85,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.9986,130124,
34,200,2026-04-17T20:19:55.475063Z,2026-04-17T20:20:07.386068Z,11.911002,9a622c879f95,2026-04-17T20:20:01.156810Z,2026-04-17T20:20:07.368880Z,6212.07,3.028,0.95,0.82,0.09,1420.95,4766.97,21.57,4764.62,22.39,4088.77,,671.65,515.11,156.54,188,96.38,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.720,2.2838,130604,
35,200,2026-04-17T20:19:55.475256Z,2026-04-17T20:20:07.417901Z,11.942644,55c9445159b3,2026-04-17T20:20:01.156429Z,2026-04-17T20:20:07.377078Z,6220.65,3.028,0.56,0.42,0.10,1421.73,4766.97,30.01,4764.62,22.39,4088.77,,671.65,515.11,156.54,188,96.38,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,2.2954,130124,
36,200,2026-04-17T20:19:55.475459Z,2026-04-17T20:20:01.191740Z,5.71628,718f245c2730,2026-04-17T20:19:55.722608Z,2026-04-17T20:20:01.138662Z,5416.05,3.028,0.49,0.36,0.09,609.22,4772.51,28.06,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.560,2.1156,122924,
37,200,2026-04-17T20:19:55.475648Z,2026-04-17T20:20:01.141094Z,5.665444,75b83ffdb205,2026-04-17T20:19:55.723151Z,2026-04-17T20:20:01.127203Z,5404.05,3.028,0.60,0.44,0.12,608.57,4772.51,19.77,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.690,2.0089,129164,
38,200,2026-04-17T20:19:55.475846Z,2026-04-17T20:20:01.147050Z,5.671201,f299ac81bea3,2026-04-17T20:19:55.723433Z,2026-04-17T20:20:01.127835Z,5404.40,3.028,0.50,0.37,0.10,608.38,4772.51,20.34,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.9942,130124,
39,200,2026-04-17T20:19:55.476042Z,2026-04-17T20:20:01.188009Z,5.711965,39d636b96aee,2026-04-17T20:19:55.724142Z,2026-04-17T20:20:01.134115Z,5409.97,3.028,0.60,0.46,0.11,607.57,4772.51,26.57,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.9963,130124,
40,200,2026-04-17T20:19:55.476235Z,2026-04-17T20:20:02.588091Z,7.111854,6cb3273ae533,2026-04-17T20:19:56.340556Z,2026-04-17T20:20:02.575887Z,6235.33,3.028,0.29,0.14,0.10,4774.82,1451.47,8.05,1447.65,40.61,1021.11,,422.98,385.27,37.71,57,100.00,100.00,9.399,9.399,39.16,39.16,8,504,800,163,short_ref,full,upload_hit,,2.700,2.3094,129644,
41,200,2026-04-17T20:19:55.476431Z,2026-04-17T20:20:07.384015Z,11.907582,184af3451c32,2026-04-17T20:20:01.164219Z,2026-04-17T20:20:07.368249Z,6204.03,3.028,0.74,0.52,0.17,1413.76,4766.97,20.54,4764.62,22.39,4088.77,,671.65,515.11,156.54,188,96.38,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.680,2.3149,128684,
42,200,2026-04-17T20:19:55.477379Z,2026-04-17T20:20:07.377208Z,11.899827,f05a0054e22e,2026-04-17T20:20:01.157588Z,2026-04-17T20:20:07.366234Z,6208.65,3.028,0.77,0.66,0.07,1420.36,4766.97,18.78,4764.62,22.39,4088.77,,671.65,515.11,156.54,188,96.38,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,2.2910,130124,
43,200,2026-04-17T20:19:55.477599Z,2026-04-17T20:20:07.402604Z,11.925002,eabf05507497,2026-04-17T20:20:01.159614Z,2026-04-17T20:20:07.370700Z,6211.09,3.028,0.42,0.31,0.08,1418.67,4766.97,23.19,4764.62,22.39,4088.77,,671.65,515.11,156.54,188,96.38,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,2.2919,130124,
44,200,2026-04-17T20:19:55.477806Z,2026-04-17T20:20:07.412960Z,11.935152,d5baff6c4909,2026-04-17T20:20:01.159796Z,2026-04-17T20:20:07.372114Z,6212.32,3.028,0.58,0.26,0.21,1418.35,4766.97,24.56,4764.62,22.39,4088.77,,671.65,515.11,156.54,188,96.38,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.570,2.4172,123404,
45,200,2026-04-17T20:19:55.478009Z,2026-04-17T20:20:07.417690Z,11.93968,aa7715586042,2026-04-17T20:20:01.161141Z,2026-04-17T20:20:07.376040Z,6214.90,3.028,0.37,0.24,0.09,1417.21,4766.97,28.41,4764.62,22.39,4088.77,,671.65,515.11,156.54,188,96.38,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,2.2933,130124,
46,200,2026-04-17T20:19:55.478208Z,2026-04-17T20:20:07.382414Z,11.904203,96319916a2ea,2026-04-17T20:20:01.164003Z,2026-04-17T20:20:07.367671Z,6203.67,3.028,0.58,0.43,0.10,1414.13,4766.97,19.99,4764.62,22.39,4088.77,,671.65,515.11,156.54,188,96.38,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.450,2.5321,117644,
47,200,2026-04-17T20:19:55.478417Z,2026-04-17T20:20:07.418206Z,11.939789,bb8e9c37d853,2026-04-17T20:20:01.164398Z,2026-04-17T20:20:07.378813Z,6214.41,3.028,0.85,0.75,0.07,1413.46,4766.97,31.05,4764.62,22.39,4088.77,,671.65,515.11,156.54,188,96.38,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,2.2931,130124,
48,200,2026-04-17T20:19:55.478623Z,2026-04-17T20:20:07.417142Z,11.938518,1fd9a76e6445,2026-04-17T20:20:01.164127Z,2026-04-17T20:20:07.375761Z,6211.63,3.028,1.24,1.13,0.07,1413.34,4766.97,24.29,4764.62,22.39,4088.77,,671.65,515.11,156.54,188,96.38,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.690,2.3092,129164,
49,200,2026-04-17T20:19:55.478838Z,2026-04-17T20:20:07.417043Z,11.938204,f65e024ef8f3,2026-04-17T20:20:01.164643Z,2026-04-17T20:20:07.375588Z,6210.94,3.028,1.05,0.94,0.07,1413.02,4766.97,27.63,4764.62,22.39,4088.77,,671.65,515.11,156.54,188,96.38,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.650,2.3438,127244,
